DATE,DEXUSEU
2012-06-11,1.2504
2012-06-12,1.2477
2012-06-13,1.2596
2012-06-14,1.2608
2012-06-15,1.2633
2012-06-18,1.2578
2012-06-19,1.2692
2012-06-20,1.2703
2012-06-21,1.2586
2012-06-22,1.2545
2012-06-25,1.2480
2012-06-26,1.2471
2012-06-27,1.2457
2012-06-28,1.2433
2012-06-29,1.2668
2012-07-02,1.2584
2012-07-03,1.2620
2012-07-04,.
2012-07-05,1.2384
2012-07-06,1.2283
2012-07-09,1.2299
2012-07-10,1.2255
2012-07-11,1.2244
2012-07-12,1.2199
2012-07-13,1.2232
2012-07-16,1.2267
2012-07-17,1.2234
2012-07-18,1.2261
2012-07-19,1.2257
2012-07-20,1.2176
2012-07-23,1.2126
2012-07-24,1.2062
2012-07-25,1.2132
2012-07-26,1.2280
2012-07-27,1.2370
2012-07-30,1.2250
2012-07-31,1.2315
2012-08-01,1.2299
2012-08-02,1.2149
2012-08-03,1.2390
2012-08-06,1.2422
2012-08-07,1.2422
2012-08-08,1.2364
2012-08-09,1.2278
2012-08-10,1.2298
2012-08-13,1.2339
2012-08-14,1.2329
2012-08-15,1.2288
2012-08-16,1.2356
2012-08-17,1.2315
2012-08-20,1.2343
2012-08-21,1.2472
2012-08-22,1.2472
2012-08-23,1.2583
2012-08-24,1.2533
2012-08-27,1.2514
2012-08-28,1.2564
2012-08-29,1.2538
2012-08-30,1.2497
2012-08-31,1.2578
2012-09-03,.
2012-09-04,1.2566
2012-09-05,1.2603
2012-09-06,1.2626
2012-09-07,1.2796
2012-09-10,1.2795
2012-09-11,1.2858
2012-09-12,1.2894
2012-09-13,1.2912
2012-09-14,1.3142
2012-09-17,1.3125
2012-09-18,1.3051
2012-09-19,1.3065
2012-09-20,1.2948
2012-09-21,1.2990
2012-09-24,1.2909
2012-09-25,1.2945
2012-09-26,1.2852
2012-09-27,1.2874
2012-09-28,1.2856
2012-10-01,1.2900
2012-10-02,1.2951
2012-10-03,1.2909
2012-10-04,1.3001
2012-10-05,1.3059
2012-10-08,.
2012-10-09,1.2876
2012-10-10,1.2888
2012-10-11,1.2928
2012-10-12,1.2946
2012-10-15,1.2950
2012-10-16,1.3036
2012-10-17,1.3133
2012-10-18,1.3106
2012-10-19,1.3022
2012-10-22,1.3063
2012-10-23,1.2971
2012-10-24,1.2946
2012-10-25,1.2958
2012-10-26,1.2938
2012-10-29,1.2906
2012-10-30,1.2979
2012-10-31,1.2958
2012-11-01,1.2937
2012-11-02,1.2848
2012-11-05,1.2790
2012-11-06,1.2818
2012-11-07,1.2759
2012-11-08,1.2740
2012-11-09,1.2715
2012-11-12,.
2012-11-13,1.2716
2012-11-14,1.2740
2012-11-15,1.2783
2012-11-16,1.2715
2012-11-19,1.2806
2012-11-20,1.2814
2012-11-21,1.2816
2012-11-22,.
2012-11-23,1.2959
2012-11-26,1.2966
2012-11-27,1.2940
2012-11-28,1.2923
2012-11-29,1.2953
2012-11-30,1.3010
2012-12-03,1.3066
2012-12-04,1.3081
2012-12-05,1.3077
2012-12-06,1.2968
2012-12-07,1.2942
2012-12-10,1.2930
2012-12-11,1.2992
2012-12-12,1.3038
2012-12-13,1.3077
2012-12-14,1.3134
2012-12-17,1.3169
2012-12-18,1.3224
2012-12-19,1.3260
2012-12-20,1.3224
2012-12-21,1.3166
2012-12-24,1.3179
2012-12-25,.
2012-12-26,1.3228
2012-12-27,1.3228
2012-12-28,1.3220
2012-12-31,1.3186
2013-01-01,.
2013-01-02,1.3195
2013-01-03,1.3110
2013-01-04,1.3047
2013-01-07,1.3099
2013-01-08,1.3068
2013-01-09,1.3078
2013-01-10,1.3220
2013-01-11,1.3353
2013-01-14,1.3369
2013-01-15,1.3342
2013-01-16,1.3305
2013-01-17,1.3356
2013-01-18,1.3303
2013-01-21,.
2013-01-22,1.3304
2013-01-23,1.3308
2013-01-24,1.3378
2013-01-25,1.3456
2013-01-28,1.3459
2013-01-29,1.3484
2013-01-30,1.3564
2013-01-31,1.3584
2013-02-01,1.3692
2013-02-04,1.3527
2013-02-05,1.3569
2013-02-06,1.3528
2013-02-07,1.3382
2013-02-08,1.3366
2013-02-11,1.3414
2013-02-12,1.3450
2013-02-13,1.3448
2013-02-14,1.3334
2013-02-15,1.3362
2013-02-18,.
2013-02-19,1.3387
2013-02-20,1.3350
2013-02-21,1.3204
2013-02-22,1.3166
2013-02-25,1.3172
2013-02-26,1.3054
2013-02-27,1.3104
2013-02-28,1.3079
2013-03-01,1.2988
2013-03-04,1.2996
2013-03-05,1.3019
2013-03-06,1.2990
2013-03-07,1.3098
2013-03-08,1.2992
2013-03-11,1.3014
2013-03-12,1.3023
2013-03-13,1.2949
2013-03-14,1.2974
2013-03-15,1.3076
2013-03-18,1.2956
2013-03-19,1.2888
2013-03-20,1.2950
2013-03-21,1.2928
2013-03-22,1.2996
2013-03-25,1.2881
2013-03-26,1.2858
2013-03-27,1.2782
2013-03-28,1.2842
2013-03-29,1.2816
2013-04-01,1.2857
2013-04-02,1.2836
2013-04-03,1.2847
2013-04-04,1.2854
2013-04-05,1.3027
2013-04-08,1.3008
2013-04-09,1.3092
2013-04-10,1.3060
2013-04-11,1.3124
2013-04-12,1.3094
2013-04-15,1.3082
2013-04-16,1.3141
2013-04-17,1.3049
2013-04-18,1.3072
2013-04-19,1.3066
2013-04-22,1.3050
2013-04-23,1.3012
2013-04-24,1.2997
2013-04-25,1.3004
2013-04-26,1.3024
2013-04-29,1.3090
2013-04-30,1.3168
2013-05-01,1.3192
2013-05-02,1.3066
2013-05-03,1.3112
2013-05-06,1.3067
2013-05-07,1.3085
2013-05-08,1.3177
2013-05-09,1.3105
2013-05-10,1.2955
2013-05-13,1.2981
2013-05-14,1.2969
2013-05-15,1.2857
2013-05-16,1.2898
2013-05-17,1.2818
2013-05-20,1.2865
2013-05-21,1.2910
2013-05-22,1.2864
2013-05-23,1.2944
2013-05-24,1.2920
2013-05-27,.
2013-05-28,1.2870
2013-05-29,1.2944
2013-05-30,1.3042
2013-05-31,1.2988
2013-06-03,1.3098
2013-06-04,1.3075
2013-06-05,1.3088
2013-06-06,1.3248
2013-06-07,1.3242
2013-06-10,1.3234
2013-06-11,1.3278
2013-06-12,1.3354
2013-06-13,1.3314
2013-06-14,1.3330
2013-06-17,1.3341
2013-06-18,1.3407
2013-06-19,1.3404
2013-06-20,1.3214
2013-06-21,1.3113
2013-06-24,1.3091
2013-06-25,1.3080
2013-06-26,1.3006
2013-06-27,1.3016
2013-06-28,1.3010
2013-07-01,1.3060
2013-07-02,1.3017
2013-07-03,1.3005
2013-07-04,.
2013-07-05,1.2831
2013-07-08,1.2863
2013-07-09,1.2774
2013-07-10,1.2846
2013-07-11,1.3046
2013-07-12,1.3048
2013-07-15,1.3039
2013-07-16,1.3144
2013-07-17,1.3094
2013-07-18,1.3078
2013-07-19,1.3142
2013-07-22,1.3193
2013-07-23,1.3212
2013-07-24,1.3228
2013-07-25,1.3234
2013-07-26,1.3269
2013-07-29,1.3262
2013-07-30,1.3266
2013-07-31,1.3282
2013-08-01,1.3217
2013-08-02,1.3268
2013-08-05,1.3257
2013-08-06,1.3296
2013-08-07,1.3329
2013-08-08,1.3392
2013-08-09,1.3338
2013-08-12,1.3312
2013-08-13,1.3247
2013-08-14,1.3256
2013-08-15,1.3263
2013-08-16,1.3321
2013-08-19,1.3348
2013-08-20,1.3426
2013-08-21,1.3368
2013-08-22,1.3362
2013-08-23,1.3392
2013-08-26,1.3369
2013-08-27,1.3387
2013-08-28,1.3326
2013-08-29,1.3228
2013-08-30,1.3196
2013-09-02,.
2013-09-03,1.3164
2013-09-04,1.3212
2013-09-05,1.3120
2013-09-06,1.3166
2013-09-09,1.3260
2013-09-10,1.3260
2013-09-11,1.3301
2013-09-12,1.3315
2013-09-13,1.3276
2013-09-16,1.3350
2013-09-17,1.3357
2013-09-18,1.3351
2013-09-19,1.3527
2013-09-20,1.3522
2013-09-23,1.3520
2013-09-24,1.3490
2013-09-25,1.3536
2013-09-26,1.3484
2013-09-27,1.3537
2013-09-30,1.3535
2013-10-01,1.3534
2013-10-02,1.3592
2013-10-03,1.3642
2013-10-04,1.3582
2013-10-07,1.3569
2013-10-08,1.3582
2013-10-09,1.3513
2013-10-10,1.3535
2013-10-11,1.3559
2013-10-14,.
2013-10-15,1.3494
2013-10-16,1.3490
2013-10-17,1.3664
2013-10-18,1.3693
2013-10-21,1.3672
2013-10-22,1.3778
2013-10-23,1.3786
2013-10-24,1.3810
2013-10-25,1.3794
2013-10-28,1.3786
2013-10-29,1.3770
2013-10-30,1.3771
2013-10-31,1.3594
2013-11-01,1.3488
2013-11-04,1.3516
2013-11-05,1.3470
2013-11-06,1.3530
2013-11-07,1.3390
2013-11-08,1.3357
2013-11-11,.
2013-11-12,1.3428
2013-11-13,1.3456
2013-11-14,1.3468
2013-11-15,1.3480
2013-11-18,1.3520
2013-11-19,1.3529
2013-11-20,1.3451
2013-11-21,1.3470
2013-11-22,1.3547
2013-11-25,1.3502
2013-11-26,1.3555
2013-11-27,1.3563
2013-11-28,.
2013-11-29,1.3606
2013-12-02,1.3552
2013-12-03,1.3604
2013-12-04,1.3555
2013-12-05,1.3664
2013-12-06,1.3690
2013-12-09,1.3726
2013-12-10,1.3765
2013-12-11,1.3798
2013-12-12,1.3752
2013-12-13,1.3724
2013-12-16,1.3757
2013-12-17,1.3748
2013-12-18,1.3766
2013-12-19,1.3666
2013-12-20,1.3673
2013-12-23,1.3701
2013-12-24,1.3676
2013-12-25,.
2013-12-26,1.3690
2013-12-27,1.3766
2013-12-30,1.3816
2013-12-31,1.3779
2014-01-01,.
2014-01-02,1.3670
2014-01-03,1.3606
2014-01-06,1.3636
2014-01-07,1.3618
2014-01-08,1.3586
2014-01-09,1.3591
2014-01-10,1.3664
2014-01-13,1.3647
2014-01-14,1.3682
2014-01-15,1.3604
2014-01-16,1.3600
2014-01-17,1.3554
2014-01-20,.
2014-01-21,1.3560
2014-01-22,1.3546
2014-01-23,1.3680
2014-01-24,1.3680
2014-01-27,1.3679
2014-01-28,1.3662
2014-01-29,1.3663
2014-01-30,1.3549
2014-01-31,1.3500
2014-02-03,1.3523
2014-02-04,1.3507
2014-02-05,1.3519
2014-02-06,1.3604
2014-02-07,1.3614
2014-02-10,1.3644
2014-02-11,1.3654
2014-02-12,1.3592
2014-02-13,1.3669
2014-02-14,1.3690
2014-02-17,.
2014-02-18,1.3758
2014-02-19,1.3762
2014-02-20,1.3690
2014-02-21,1.3722
2014-02-24,1.3744
2014-02-25,1.3749
2014-02-26,1.3668
2014-02-27,1.3724
2014-02-28,1.3806
